井原　巧		安倍派	愛媛3区		衆	22年	168万円	168万円	https://mainichi.jp/articles/20240124/ddm/041/010/054000c
井上　義行		安倍派	比例区		参	18-22年	178万円	170万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
磯崎　陽輔	元職	安倍派	大分県選挙区		参	20-22年	82万円	82万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
稲田　朋美		安倍派	福井1区		衆	21-22年	196万円	196万円	https://www.yomiuri.co.jp/national/20240120-OYT1T50218/
羽生田　俊		安倍派	比例区		参	18-22年	818万円	634万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
衛藤　征士郎		安倍派	大分2区		衆	18-22年	1070万円	970万円	https://news.yahoo.co.jp/articles/efd92ca72993ca4562081af0b6d7ad7ab93913f0
衛藤　晟一		二階派	比例九州	大分２区 	衆	22年	80万円	80万円	https://www.yomiuri.co.jp/national/20240120-OYT1T50039/
越智　隆雄		安倍派	比例東京	東京６区	衆	18-22年	84万円	18万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
塩谷　立		安倍派	比例東海	静岡８区	衆	18-22年	234万円	196万円	https://www.chunichi.co.jp/article/844967
岡田　直樹		安倍派	石川県選挙区		参	20-22年	774万円	596万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
下村　博文		安倍派	東京11区		衆	18-22年	476万円	440万円	https://www.47news.jp/10467837.html
加田　裕之		安倍派	兵庫県選挙区		参	18-22年	648万円	648万円	https://www.kobe-np.co.jp/news/society/202401/0017257818.shtml
加藤　寛治	元職	安倍派	長崎2区		衆	20-21年	26万円	26万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
加藤　竜祥		安倍派	長崎2区		衆	22年	10万円	10万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
加納　陽之助	元職	安倍派	大阪15区		衆	22年	40万円	40万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
関　芳弘		安倍派	兵庫3区		衆	18-22年	836万円	524万円	https://www.kobe-np.co.jp/news/society/202401/0017257818.shtml
丸川　珠代		安倍派	東京都選挙区	東京7区	衆	18-22年	822万円	512万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
岸　信夫	元職	安倍派	山口2区		衆	20-21年	30万円	30万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
岩城　光英	元職	安倍派	福島県選挙区		参	20-22年	132万円	132万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
亀岡　偉民		安倍派	比例東北	福島１区	衆	18-22年	348万円	292万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
義家　弘介		安倍派	比例南関東	神奈川１６区	衆	18-22年	369万円	363万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
吉川　有美		安倍派	三重県選挙区		参	20-22年	240万円	240万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
吉野　正芳	引退	安倍派	福島4区		衆	18-22年	660万円	414万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
宮下　一郎		安倍派	長野5区		衆	21年	12万円	12万円	https://www.shinmai.co.jp/news/article/CNTS2024012200918
宮内　秀樹		二階派	福岡4区		衆	19-22年	161万円	145万円	https://digital.asahi.com/articles/ASS1P52X2S1PTIPE003.html
宮本　周司		安倍派	石川県選挙区		参	18-22年	1482万円	974万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
宮沢　博行		安倍派	比例東海	静岡３区	衆	20-22年	132万円	132万円	https://www.at-s.com/news/article/shizuoka/1392910.html
橋本　聖子		安倍派	比例区		参	18-22年	2057万円	289万円	https://digital.asahi.com/articles/ASS1M3D0WS1LUTFK01X.html
古田　圭一	元職	安倍派	比例中国		衆	20-22年	42万円	42万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
江島　潔		安倍派	山口県選挙区		参	18-22年	280万円	240万円	https://digital.asahi.com/articles/ASS1N73F0S1NUTIL00B.html
高橋　はるみ		安倍派	北海道選挙区		参	20年	22万円	22万円	https://www.hokkaido-np.co.jp/article/967565/
高鳥　修一		安倍派	比例北陸信越	新潟６区	衆	18-22年	544万円	484万円	https://www.niigata-nippo.co.jp/articles/-/350573
高木　毅		安倍派	福井2区		衆	18-22年	1019万円	865万円	https://digital.asahi.com/articles/ASS1R7KX3S1RPISC006.html
今村　洋史	元職	安倍派	比例東京	東京１５区	衆	20-22年	220万円	220万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
根本　幸典		安倍派	愛知15区		衆	18-22年	420万円	396万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
佐々木　紀		安倍派	石川2区		衆	20-21年	184万円	166万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
佐藤　啓		安倍派	奈良県選挙区		参	18-22年	306万円	236万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
細田　健一		安倍派	新潟2区		衆	18-22年	564万円	474万円	https://www.niigata-nippo.co.jp/articles/-/350573
細田　博之	故人	安倍派	島根1区		衆	20-22年	210万円	210万円	https://mainichi.jp/articles/20240131/k00/00m/010/312000c
