選挙種別ID,選挙ID,選挙名,選挙区ID(選挙区),選挙区名,NHK県コード
1,18852,衆院選,52042,北海道１区,1
1,18852,衆院選,52043,北海道２区,1
1,18852,衆院選,52044,北海道３区,1
1,18852,衆院選,52045,北海道４区,1
1,18852,衆院選,52046,北海道５区,1
1,18852,衆院選,52047,北海道６区,1
1,18852,衆院選,52048,北海道７区,1
1,18852,衆院選,52049,北海道８区,1
1,18852,衆院選,52050,北海道９区,1
1,18852,衆院選,52051,北海道１０区,1
1,18852,衆院選,52052,北海道１１区,1
1,18852,衆院選,52053,北海道１２区,1
1,18852,衆院選,52054,青森１区,2
1,18852,衆院選,52055,青森２区,2
1,18852,衆院選,52056,青森３区,2
1,18852,衆院選,52057,岩手１区,3
1,18852,衆院選,52058,岩手２区,3
1,18852,衆院選,52059,岩手３区,3
1,18852,衆院選,52060,宮城１区,4
1,18852,衆院選,52061,宮城２区,4
1,18852,衆院選,52062,宮城３区,4
1,18852,衆院選,52063,宮城４区,4
1,18852,衆院選,52064,宮城５区,4
1,18852,衆院選,52066,秋田１区,5
1,18852,衆院選,52067,秋田２区,5
1,18852,衆院選,52068,秋田３区,5
1,18852,衆院選,52069,山形１区,6
1,18852,衆院選,52070,山形２区,6
1,18852,衆院選,52071,山形３区,6
1,18852,衆院選,52072,福島１区,7
1,18852,衆院選,52073,福島２区,7
1,18852,衆院選,52074,福島３区,7
1,18852,衆院選,52075,福島４区,7
1,18852,衆院選,52077,茨城１区,8
1,18852,衆院選,52078,茨城２区,8
1,18852,衆院選,52079,茨城３区,8
1,18852,衆院選,52080,茨城４区,8
1,18852,衆院選,52081,茨城５区,8
1,18852,衆院選,52082,茨城６区,8
1,18852,衆院選,52083,茨城７区,8
1,18852,衆院選,52084,栃木１区,9
1,18852,衆院選,52085,栃木２区,9
1,18852,衆院選,52086,栃木３区,9
1,18852,衆院選,52087,栃木４区,9
1,18852,衆院選,52088,栃木５区,9
1,18852,衆院選,52089,群馬１区,10
1,18852,衆院選,52090,群馬２区,10
1,18852,衆院選,52091,群馬３区,10
1,18852,衆院選,52092,群馬４区,10
1,18852,衆院選,52093,群馬５区,10
1,18852,衆院選,52094,埼玉１区,11
1,18852,衆院選,52095,埼玉２区,11
1,18852,衆院選,52096,埼玉３区,11
1,18852,衆院選,52097,埼玉４区,11
1,18852,衆院選,52098,埼玉５区,11
