表示順,政党ID,政党名（略）,無他フラグ,政党名（フル）,与野党フラグ,政党カラー
1,1,自民,0,自由民主党,1,#d22319
2,195,立民,0,立憲民主党,2,#2391ff
3,187,維新,0,日本維新の会,2,#e19a00
4,3,公明,0,公明党,1,#eb61be
5,4,共産,0,日本共産党,2,#6e41e1
6,197,国民,0,国民民主党,2,#0010a5
7,212,れいわ,0,れいわ新選組,2,#f0a0a7
8,5,社民,0,社会民主党,2,#05555a
9,227,参政,0,参政党,2,#eb640a
10,243,みんな,1,みんなでつくる党,2,#b6c81b
11,245,保守,0,日本保守党,2,#9696f0
12,214,安死,1,安楽死制度を考える会,2,#000546
13,14,社大,1,沖縄社会大衆党,2,#1991aa
14,189,都民,1,都民ファーストの会,2
15,93,減税,1,減税日本,2,#28c3dc
16,144,大地,1,新党大地,2,#4baa62
17,29,諸派,1,諸派,2,#690064
18,-1,無,1,無所属,2,#4c6a88
